,brand_id,title
1732,13610,Atek Sensor
1734,15335,DeFelsko
1739,6477,BASS - antriebstechnik
1741,517,AMETEK
1742,19590,HEAT gas technologies
1743,17553,IBS Austria
1745,1187,Walter Tools \/ Walter-Tools \/ Walter AG
1746,3623,Robertshaw Industrial Products
1747,1150,Pfeiffer Vacuum
1750,13364,yamari industries ltd
1751,1656,WISKA
1752,15975,Larox
1754,7580,NASON
1757,8938,ruck Ventilatoren
1766,15496,Wolfgang Warmbier
1772,1162,ITT Cannon
1773,597,Poggi
1774,3637,DALGAKIRAN
1775,4127,EXMAR
1776,759,Hummel
1783,7255,NUOVA FIMA
1797,7559,COMITRONIC-BTI
1803,4549,Calpeda pumps
1804,629,STAHLWILLE
1805,4858,Thies Clima
1808,11470,NIOB FLUID
1810,704,HYDRAFORCE
1812,14520,Rheinhuette \/ Rheinhütte Pumpen (brand of ITT)
1818,13754,MDJ Electronic
1820,12729,VibroSystM
1830,7553,CERTUSS Dampfautomaten
1834,4916,HIROSE VALVE
1835,6585,Bechem
1839,4978,RUBSAMEN & HERR
1841,1663,Yaskawa
1842,13913,EC Motion
1850,1895,Flir
1852,19431,Hawker Electronics
1854,6296,Datexel
1855,595,KENDRION
1860,5376,HELKAMA
1869,2118,Philips
1876,3072,MD Totco (brand of National Oilwell Varco)
1884,15047,Azcue Pumps
1885,18285,IMI CCI \/ IMI Critical \/ IMI STI
1886,192,Helmholz
1887,15844,MayTec
1898,15155,Rational Precision Instrument
1903,4210,Dusterloh \/ Düsterloh \/ Duesterloh
1906,13155,Filtration Group
1907,17431,ITH Bolting Technology
1909,2867,KROHNE
1911,989,Pneumax
1913,21043,KAB
1919,4713,Sun Hydraulics (brand of Helios Technologies)
1920,13095,Hansen Technologies
1921,2329,Dietz-motoren
1925,8918,Metos
1926,117,FRABA Posital \/ Vitector \/ Conistics \/ Centitech
1934,5909,Regloplas
1935,15815,SILHORKO-EUROWATER
1936,10576,Marathon Electric (brand of Regal Beloit)
1937,6501,Genie
1940,9788,Hifi Filter
1943,1546,BULGIN
1948,10895,Badestnost
1952,2935,Plarad
1953,3657,Filtrec
1957,9576,Measurement & Control Technology
1965,8956,Unimatic
1966,9953,Euroswitch (Brand of MONT.EL Group)
1978,8489,EBG \/ EBG Resistors
1980,6591,Elkalub
1981,11816,HOYEA
1983,444,GEMÜ \/ Gemu
1984,10923,GIFAS
1985,1808,Metrix Instrument
1986,474,EL-O-MATIC  ELOMATIC
1987,442,Watlow
1988,5266,WELOTEC
1989,13496,FST (Filtrations-Separations-Technik)
1990,4247,Axima
1992,2293,TSUBAKI KABELSCHLEPP
1993,20497,Anhui Union
1994,13045,Minipress
1996,5463,Vesta Automation
1997,585,WILDEN (Brand of DOVER)
1998,5293,Woyda Elektronik
1999,7950,CMG Motors  (brand of Regal Beloit)
2000,15886,Netcontrol
2002,2399,Tartarini (brand of Emerson)
2005,5006,Aquafine
2009,10100,Pentair Water
2012,152,ALFRA
2017,16839,Klinger&Born
2018,11239,ziHYD
2019,570,VALSTEAM ADCA
2020,1825,VICKERS (brand of EATON)
2022,340,SELET
2025,3334,Cabur
2031,7015,Stego
2033,20403,Lahti Precision
2034,3555,Raja Lovejoy
2037,9993,KEM Kueppers
2039,19318,LANBAO
2042,13436,Bosch Rexroth Lineartechnik
2044,699,COMER INDUSTRIES
2056,39,Hengstler
2057,2607,BREMAS ERSCE
2058,18581,TELSONIC
2061,383,NEMICON (brand of NIDEC)
2064,17148,Solmetric
2065,9695,Reyher
2067,14217,Logopak
2069,15458,Z&J Technologies \/ IMI Z&J
2080,13756,Maxwell Technologies
2084,1617,Schneeberger
2090,5782,VOGELSANG
2091,7732,KANT Druckschalter
2093,21070,BERG Propulsion
